id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,totalRisk,isApproved 
ID12490,48,FEMALE,INNER_CITY,15933.3,YES,0,NO,YES,NO,NO,4,0
ID12493,58,FEMALE,TOWN,38248.3,YES,3,YES,YES,NO,NO,4,0
ID12497,40,MALE,RURAL,25768.6,YES,0,YES,YES,NO,NO,4,0
ID12498,48,MALE,INNER_CITY,34182.2,YES,2,NO,YES,YES,NO,4,0
ID12501,34,FEMALE,RURAL,19481.3,NO,0,NO,NO,YES,YES,4,0
ID12504,35,MALE,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,4,0
ID12507,52,MALE,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,4,0
ID12508,31,MALE,SUBURBAN,22362.3,NO,0,NO,YES,YES,NO,4,0
ID12516,27,MALE,RURAL,20058.7,YES,0,NO,YES,YES,YES,4,0
ID12517,36,MALE,INNER_CITY,12533.2,NO,1,NO,YES,NO,YES,4,0
ID12519,28,FEMALE,TOWN,25699.4,YES,2,YES,YES,NO,NO,4,0
ID12525,20,MALE,TOWN,17239.5,NO,1,YES,NO,YES,NO,4,0
ID12533,46,MALE,TOWN,16849.3,NO,0,YES,YES,YES,YES,4,0
ID12551,42,MALE,INNER_CITY,28938.6,YES,3,YES,NO,NO,NO,4,0
ID12563,23,FEMALE,INNER_CITY,18050,YES,0,YES,NO,YES,YES,4,0
ID12572,51,FEMALE,INNER_CITY,25372.8,YES,0,YES,YES,YES,NO,4,0
ID12574,41,FEMALE,TOWN,27757.6,NO,0,NO,YES,YES,NO,4,0
ID12581,30,MALE,RURAL,11536.2,YES,2,NO,NO,YES,YES,4,0
ID12583,44,MALE,RURAL,32762.5,NO,0,NO,YES,YES,YES,4,0
ID12584,23,MALE,RURAL,16403.8,YES,0,YES,YES,NO,NO,4,0
ID12586,64,FEMALE,INNER_CITY,49917.3,YES,0,YES,YES,YES,YES,4,0
ID12589,27,FEMALE,TOWN,14014.5,YES,3,NO,YES,NO,NO,4,0
ID12590,27,MALE,INNER_CITY,20409.3,YES,2,NO,YES,NO,NO,4,0
ID12608,22,FEMALE,SUBURBAN,11595.4,NO,0,YES,YES,YES,NO,4,0
ID12609,60,MALE,SUBURBAN,50409.9,NO,2,NO,YES,YES,YES,4,0
ID12615,37,MALE,INNER_CITY,33886.4,NO,0,YES,YES,NO,NO,4,0
ID12623,27,MALE,SUBURBAN,12683.6,NO,3,NO,YES,YES,YES,4,0
ID12625,44,MALE,SUBURBAN,18707.3,YES,0,YES,YES,YES,YES,4,0
ID12626,43,FEMALE,INNER_CITY,19326.9,YES,1,NO,NO,YES,NO,4,0
ID12629,30,FEMALE,INNER_CITY,25830.5,YES,2,NO,NO,YES,NO,4,0
ID12631,64,MALE,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,4,0
ID12633,59,MALE,INNER_CITY,30067.5,NO,1,NO,YES,YES,NO,4,0
ID12638,61,FEMALE,RURAL,57176.4,NO,2,NO,YES,YES,NO,4,0
ID12640,19,MALE,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,4,0
ID12641,48,FEMALE,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES,4,0
ID12649,42,MALE,RURAL,20736.2,YES,1,YES,YES,YES,NO,4,0
ID12658,41,MALE,RURAL,25132.9,YES,0,NO,NO,YES,NO,4,0
ID12663,57,FEMALE,RURAL,50897.6,YES,0,NO,YES,YES,NO,4,0
ID12666,30,MALE,TOWN,24867.6,YES,0,YES,YES,NO,NO,4,0
ID12683,46,FEMALE,TOWN,21984.4,NO,3,NO,YES,NO,NO,4,0
ID12684,47,FEMALE,RURAL,29093.1,NO,2,YES,YES,YES,NO,4,0
ID12686,20,MALE,TOWN,9516.91,NO,3,YES,YES,YES,NO,4,0
ID12687,20,MALE,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,4,0
ID12693,48,MALE,TOWN,20268,YES,0,NO,YES,YES,NO,4,0
ID12698,31,FEMALE,TOWN,15976.3,YES,0,YES,YES,NO,NO,4,0
,38,MALE,TOWN,26671.6,NO,0,YES,NO,YES,YES,4,0
ID12105,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,3,0
ID12144,32,FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,3,0
ID12151,24,MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,3,0
ID12196,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,YES,NO,3,0
ID12212,34,MALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,3,0
ID12234,64,FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,3,0
ID12299,26,MALE,INNER_CITY,14585.9,NO,2,NO,NO,YES,YES,3,0
ID12329,37,MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,3,0
ID12335,57,FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,3,0
ID12387,39,MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,3,0
ID12412,66,MALE,INNER_CITY,36646.4,NO,1,NO,YES,YES,NO,3,0
ID12431,66,FEMALE,RURAL,52769.9,YES,3,YES,YES,YES,NO,3,0
ID12499,64,FEMALE,INNER_CITY,57444.5,NO,1,NO,YES,YES,NO,3,0
ID12523,22,MALE,INNER_CITY,11411,YES,1,YES,NO,YES,NO,3,0
ID12549,53,MALE,RURAL,48971.6,YES,3,YES,YES,NO,NO,3,0
ID12624,34,FEMALE,TOWN,16291,YES,0,YES,YES,NO,YES,3,0
ID12630,55,MALE,RURAL,43499.5,YES,1,YES,YES,YES,NO,3,0
ID12639,43,FEMALE,INNER_CITY,38784,YES,0,NO,YES,YES,NO,3,0
ID12643,32,MALE,INNER_CITY,14627.9,YES,2,YES,YES,YES,NO,3,0
ID12645,46,MALE,RURAL,21096.2,YES,1,YES,YES,YES,NO,3,0
ID12656,20,FEMALE,TOWN,7723.93,YES,2,YES,YES,YES,NO,3,0
ID12662,25,FEMALE,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,3,0
ID12689,58,MALE,RURAL,49673.6,YES,0,NO,YES,YES,NO,3,0
ID12321,37,FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,2,0
ID12611,29,FEMALE,TOWN,13327.8,YES,0,NO,YES,NO,NO,2,0
